检测次数,购买前余额,购买后余额,单价,动作,时间
1,59206536,59191098,498.0,价格过高,2025-10-24 03:17:54
2,59191098,59177520,438.0,购买成功(200x6),2025-10-24 03:18:02
3,58771120,58754442,538.0,价格过高,2025-10-24 03:18:07
4,58754442,58738204,523.8,价格过高,2025-10-24 03:18:14
5,58738204,58722766,498.0,价格过高,2025-10-24 03:18:20
6,58722766,58706088,538.0,价格过高,2025-10-24 03:18:25
7,58706088,58692510,438.0,购买成功(200x6),2025-10-24 03:18:33
8,58373710,58360752,418.0,购买成功(200x6),2025-10-24 03:18:40
9,58083952,58066964,548.0,价格过高,2025-10-24 03:18:46
10,58066964,58053386,438.0,购买成功(200x6),2025-10-24 03:18:54
11,57704986,57692028,418.0,购买成功(200x6),2025-10-24 03:19:01
12,57281268,57265830,498.0,价格过高,2025-10-24 03:19:07
13,57265830,57252562,428.0,购买成功(200x6),2025-10-24 03:19:16
14,56832162,56817034,488.0,价格过高,2025-10-24 03:19:22
15,56817034,56801886,488.6,价格过高,2025-10-24 03:19:29
16,56801886,56786448,498.0,价格过高,2025-10-24 03:19:34
17,56786448,56769650,541.9,价格过高,2025-10-24 03:19:41
18,56769650,56752972,538.0,价格过高,2025-10-24 03:19:46
19,56752972,56736294,538.0,价格过高,2025-10-24 03:19:51
20,56736294,56719616,538.0,价格过高,2025-10-24 03:19:56
21,56719616,56704178,498.0,价格过高,2025-10-24 03:20:01
22,56704178,56688740,498.0,价格过高,2025-10-24 03:20:07
23,56688740,56673302,498.0,价格过高,2025-10-24 03:20:12
24,56673302,56656624,538.0,价格过高,2025-10-24 03:20:17
25,56656624,56640876,508.0,价格过高,2025-10-24 03:20:22
26,56640876,56625128,508.0,价格过高,2025-10-24 03:20:27
27,56625128,56609380,508.0,价格过高,2025-10-24 03:20:32
28,56609380,56595802,438.0,购买成功(200x6),2025-10-24 03:20:40
29,56211402,56194414,548.0,价格过高,2025-10-24 03:20:45
30,56194414,56177116,558.0,价格过高,2025-10-24 03:20:50
31,56177116,56160438,538.0,价格过高,2025-10-24 03:20:56
32,56160438,56144690,508.0,价格过高,2025-10-24 03:21:01
33,56144690,56128942,508.0,价格过高,2025-10-24 03:21:06
34,56128942,56113194,508.0,价格过高,2025-10-24 03:21:11
35,56113194,56099616,438.0,购买成功(200x6),2025-10-24 03:21:19
36,55727216,55710228,548.0,价格过高,2025-10-24 03:21:24
37,55710228,55693240,548.0,价格过高,2025-10-24 03:21:29
38,55693240,55680592,408.0,购买成功(200x6),2025-10-24 03:21:37
39,55312762,55295774,548.0,价格过高,2025-10-24 03:21:42
40,55295774,55280646,488.0,价格过高,2025-10-24 03:21:47
41,55280646,55263658,548.0,价格过高,2025-10-24 03:21:52
42,55263658,55246670,548.0,价格过高,2025-10-24 03:21:58
43,55246670,55229682,548.0,价格过高,2025-10-24 03:22:03
44,55229682,55212694,548.0,价格过高,2025-10-24 03:22:08
45,55212694,55196216,531.5,价格过高,2025-10-24 03:22:15
46,55196216,55179538,538.0,价格过高,2025-10-24 03:22:20
47,55179538,55162550,548.0,价格过高,2025-10-24 03:22:25
48,55162550,55147422,488.0,价格过高,2025-10-24 03:22:30
49,55147422,55132294,488.0,价格过高,2025-10-24 03:22:38
50,55132294,55114996,558.0,价格过高,2025-10-24 03:22:43
51,55114996,55098008,548.0,价格过高,2025-10-24 03:22:48
52,55098008,55082880,488.0,价格过高,2025-10-24 03:22:53
53,55082880,55069612,428.0,购买成功(200x6),2025-10-24 03:23:01
54,54643212,54625914,558.0,价格过高,2025-10-24 03:23:06
55,54625914,54608926,548.0,价格过高,2025-10-24 03:23:11
56,54608926,54593798,488.0,价格过高,2025-10-24 03:23:16
57,54593798,54576810,548.0,价格过高,2025-10-24 03:23:21
