检测次数,购买前余额,购买后余额,价格差,动作,时间
1,17810456,17809928,528,价格过高,2025-10-13 00:08:05
2,17809928,17809390,538,价格过高,2025-10-13 00:08:12
3,17809390,17808852,538,价格过高,2025-10-13 00:08:19
4,17808852,17808314,538,价格过高,2025-10-13 00:08:26
5,17808314,17807776,538,价格过高,2025-10-13 00:08:33
6,17807776,17807248,528,价格过高,2025-10-13 00:08:40
7,17807248,17806720,528,价格过高,2025-10-13 00:08:48
8,17806720,17806182,538,价格过高,2025-10-13 00:08:55
9,17806182,17805644,538,价格过高,2025-10-13 00:09:02
10,17805644,17805116,528,价格过高,2025-10-13 00:09:09
11,17805116,17804588,528,价格过高,2025-10-13 00:09:16
12,17804588,17804050,538,价格过高,2025-10-13 00:09:23
13,17804050,17803512,538,价格过高,2025-10-13 00:09:30
14,17803512,17802974,538,价格过高,2025-10-13 00:09:37
15,17802974,17802436,538,价格过高,2025-10-13 00:09:44
16,17802436,17801908,528,价格过高,2025-10-13 00:09:51
17,17801908,17801370,538,价格过高,2025-10-13 00:09:58
18,17801370,17800832,538,价格过高,2025-10-13 00:10:05
19,17800832,17800284,548,价格过高,2025-10-13 00:10:15
20,17800284,17799736,548,价格过高,2025-10-13 00:10:22
21,17799736,17799188,548,价格过高,2025-10-13 00:10:29
22,17799188,17798640,548,价格过高,2025-10-13 00:10:36
23,17798640,17798102,538,价格过高,2025-10-13 00:10:43
24,17798102,17797554,548,价格过高,2025-10-13 00:10:51
25,17797554,17797006,548,价格过高,2025-10-13 00:10:58
26,17797006,17796458,548,价格过高,2025-10-13 00:11:05
27,17796458,17795910,548,价格过高,2025-10-13 00:11:12
28,17795910,17795362,548,价格过高,2025-10-13 00:11:19
29,17795362,17794824,538,价格过高,2025-10-13 00:11:26
30,17794824,17794266,558,价格过高,2025-10-13 00:11:36
31,17794266,17793718,548,价格过高,2025-10-13 00:11:43
32,17793718,17793170,548,价格过高,2025-10-13 00:11:50
33,17793170,17792622,548,价格过高,2025-10-13 00:11:57
34,17792622,17792074,548,价格过高,2025-10-13 00:12:04
35,17792074,17791526,548,价格过高,2025-10-13 00:12:11
36,17791526,17790968,558,价格过高,2025-10-13 00:12:18
37,17790968,17790410,558,价格过高,2025-10-13 00:12:25
38,17790410,17789852,558,价格过高,2025-10-13 00:12:32
39,17789852,17789284,568,价格过高,2025-10-13 00:12:39
40,17789284,17788736,548,价格过高,2025-10-13 00:12:46
41,17788736,17788198,538,价格过高,2025-10-13 00:12:56
42,17788198,17787660,538,价格过高,2025-10-13 00:13:03
43,17787660,17787142,518,价格过高,2025-10-13 00:13:10
44,17787142,17786614,528,价格过高,2025-10-13 00:13:17
45,17786614,17786086,528,价格过高,2025-10-13 00:13:25
46,17786086,17785548,538,价格过高,2025-10-13 00:13:32
47,17785548,17785010,538,价格过高,2025-10-13 00:13:39
48,17785010,17784472,538,价格过高,2025-10-13 00:13:46
49,17784472,17783934,538,价格过高,2025-10-13 00:13:53
50,17783934,17783396,538,价格过高,2025-10-13 00:14:00
51,17783396,17782858,538,价格过高,2025-10-13 00:14:07
52,17782858,17782310,548,价格过高,2025-10-13 00:14:14
53,17782310,17781762,548,价格过高,2025-10-13 00:14:21
54,17781762,17781214,548,价格过高,2025-10-13 00:14:28
55,17781214,17780676,538,价格过高,2025-10-13 00:14:35
56,17780676,17780128,548,价格过高,2025-10-13 00:14:45
57,17780128,17779580,548,价格过高,2025-10-13 00:14:52
58,17779580,17779032,548,价格过高,2025-10-13 00:14:59
59,17779032,17778484,548,价格过高,2025-10-13 00:15:06
60,17778484,17777946,538,价格过高,2025-10-13 00:15:13
61,17777946,17777408,538,价格过高,2025-10-13 00:15:20
62,17777408,17776870,538,价格过高,2025-10-13 00:15:28
63,17776870,17776332,538,价格过高,2025-10-13 00:15:35
64,17776332,17775794,538,价格过高,2025-10-13 00:15:42
65,17775794,17775256,538,价格过高,2025-10-13 00:15:49
66,17775256,17774718,538,价格过高,2025-10-13 00:15:56
67,17774718,17774180,538,价格过高,2025-10-13 00:16:03
68,17774180,17773642,538,价格过高,2025-10-13 00:16:13
69,17773642,17773104,538,价格过高,2025-10-13 00:16:20
70,17773104,17772556,548,价格过高,2025-10-13 00:16:27
71,17772556,17772008,548,价格过高,2025-10-13 00:16:34
72,17772008,17771470,538,价格过高,2025-10-13 00:16:44
73,17771470,17770932,538,价格过高,2025-10-13 00:16:51
74,17770932,17770384,548,价格过高,2025-10-13 00:16:58
75,17770384,17769836,548,价格过高,2025-10-13 00:17:05
76,17769836,17769298,538,价格过高,2025-10-13 00:17:12
77,17769298,17768750,548,价格过高,2025-10-13 00:17:22
78,17768750,17768202,548,价格过高,2025-10-13 00:17:29
79,17768202,17767664,538,价格过高,2025-10-13 00:17:36
80,17767664,17767126,538,价格过高,2025-10-13 00:17:43
81,17767126,17766588,538,价格过高,2025-10-13 00:17:50
82,17766588,17766050,538,价格过高,2025-10-13 00:17:57
83,17766050,17765512,538,价格过高,2025-10-13 00:18:07
84,17765512,17764974,538,价格过高,2025-10-13 00:18:14
85,17764974,17764436,538,价格过高,2025-10-13 00:18:21
86,17764436,17763898,538,价格过高,2025-10-13 00:18:28
87,17763898,17763350,548,价格过高,2025-10-13 00:18:38
88,17763350,17762802,548,价格过高,2025-10-13 00:18:45
89,17762802,17762254,548,价格过高,2025-10-13 00:18:52
90,17762254,17761706,548,价格过高,2025-10-13 00:19:02
91,17761706,17761168,538,价格过高,2025-10-13 00:19:09
92,17761168,17760630,538,价格过高,2025-10-13 00:19:16
93,17760630,17760092,538,价格过高,2025-10-13 00:19:23
94,17760092,17759544,548,价格过高,2025-10-13 00:19:30
95,17759544,17758996,548,价格过高,2025-10-13 00:19:37
96,17758996,17758448,548,价格过高,2025-10-13 00:19:44
97,17758448,17757900,548,价格过高,2025-10-13 00:19:52
98,17757900,17757352,548,价格过高,2025-10-13 00:19:59
99,17757352,17756804,548,价格过高,2025-10-13 00:20:06
100,17756804,17756256,548,价格过高,2025-10-13 00:20:13
101,17756256,17755708,548,价格过高,2025-10-13 00:20:20
102,17755708,17755160,548,价格过高,2025-10-13 00:20:27
103,17755160,17754612,548,价格过高,2025-10-13 00:20:34
104,17754612,17754064,548,价格过高,2025-10-13 00:20:41
105,17754064,17753516,548,价格过高,2025-10-13 00:20:48
106,17753516,17752958,558,价格过高,2025-10-13 00:20:55
107,17752958,17752400,558,价格过高,2025-10-13 00:21:02
108,17752400,17751842,558,价格过高,2025-10-13 00:21:09
109,17751842,17751294,548,价格过高,2025-10-13 00:21:16
110,17751294,17750736,558,价格过高,2025-10-13 00:21:24
111,17750736,17750178,558,价格过高,2025-10-13 00:21:31
112,17750178,17749620,558,价格过高,2025-10-13 00:21:38
113,17749620,17749062,558,价格过高,2025-10-13 00:21:45
114,17749062,17748504,558,价格过高,2025-10-13 00:21:52
115,17748504,17747946,558,价格过高,2025-10-13 00:21:59
116,17747946,17747388,558,价格过高,2025-10-13 00:22:06
117,17747388,17746830,558,价格过高,2025-10-13 00:22:13
118,17746830,17746272,558,价格过高,2025-10-13 00:22:20
119,17746272,17745724,548,价格过高,2025-10-13 00:22:30
120,17745724,17745176,548,价格过高,2025-10-13 00:22:37
121,17745176,17744618,558,价格过高,2025-10-13 00:22:44
122,17744618,17744060,558,价格过高,2025-10-13 00:22:54
123,17744060,17743502,558,价格过高,2025-10-13 00:23:01
124,17743502,17742944,558,价格过高,2025-10-13 00:23:11
125,17742944,17742386,558,价格过高,2025-10-13 00:23:18
126,17742386,17741838,548,价格过高,2025-10-13 00:23:25
127,17741838,17741280,558,价格过高,2025-10-13 00:23:32
128,17741280,17740722,558,价格过高,2025-10-13 00:23:39
129,17740722,17740164,558,价格过高,2025-10-13 00:23:46
130,17740164,17739606,558,价格过高,2025-10-13 00:23:53
131,17739606,17739048,558,价格过高,2025-10-13 00:24:00
132,17739048,17738490,558,价格过高,2025-10-13 00:24:07
133,17738490,17737932,558,价格过高,2025-10-13 00:24:14
134,17737932,17737374,558,价格过高,2025-10-13 00:24:22
135,17737374,17736816,558,价格过高,2025-10-13 00:24:29
136,17736816,17736268,548,价格过高,2025-10-13 00:24:36
137,17736268,17735720,548,价格过高,2025-10-13 00:24:43
138,17735720,17735182,538,价格过高,2025-10-13 00:24:50
139,17735182,17734634,548,价格过高,2025-10-13 00:24:57
140,17734634,17734086,548,价格过高,2025-10-13 00:25:04
141,17734086,17733538,548,价格过高,2025-10-13 00:25:11
142,17733538,17732990,548,价格过高,2025-10-13 00:25:18
143,17732990,17732442,548,价格过高,2025-10-13 00:25:25
144,17732442,17731884,558,价格过高,2025-10-13 00:25:35
145,17731884,17731326,558,价格过高,2025-10-13 00:25:42
146,17731326,17730768,558,价格过高,2025-10-13 00:25:49
147,17730768,17730210,558,价格过高,2025-10-13 00:25:56
148,17730210,17729652,558,价格过高,2025-10-13 00:26:03
149,17729652,17729104,548,价格过高,2025-10-13 00:26:10
150,17729104,17728546,558,价格过高,2025-10-13 00:26:17
151,17728546,17727998,548,价格过高,2025-10-13 00:26:25
152,17727998,17727450,548,价格过高,2025-10-13 00:26:32
153,17727450,17726902,548,价格过高,2025-10-13 00:26:39
154,17726902,17726354,548,价格过高,2025-10-13 00:26:46
155,17726354,17725796,558,价格过高,2025-10-13 00:26:56
156,17725796,17725248,548,价格过高,2025-10-13 00:27:03
157,17725248,17724700,548,价格过高,2025-10-13 00:27:10
158,17724700,17724152,548,价格过高,2025-10-13 00:27:17
159,17724152,17723604,548,价格过高,2025-10-13 00:27:24
160,17723604,17723056,548,价格过高,2025-10-13 00:27:31
161,17723056,17722498,558,价格过高,2025-10-13 00:27:38
162,17722498,17721940,558,价格过高,2025-10-13 00:27:45
163,17721940,17721382,558,价格过高,2025-10-13 00:27:52
164,17721382,17720824,558,价格过高,2025-10-13 00:27:59
165,17720824,17720266,558,价格过高,2025-10-13 00:28:06
166,17720266,17719718,548,价格过高,2025-10-13 00:28:16
167,17719718,17719170,548,价格过高,2025-10-13 00:28:23
168,17719170,17718622,548,价格过高,2025-10-13 00:28:30
169,17718622,17718074,548,价格过高,2025-10-13 00:28:37
170,17718074,17717516,558,价格过高,2025-10-13 00:28:47
171,17717516,17716958,558,价格过高,2025-10-13 00:28:54
172,17716958,17716410,548,价格过高,2025-10-13 00:29:01
173,17716410,17715872,538,价格过高,2025-10-13 00:29:08
174,17715872,17715334,538,价格过高,2025-10-13 00:29:15
175,17715334,17714786,548,价格过高,2025-10-13 00:29:22
176,17714786,17714228,558,价格过高,2025-10-13 00:29:30
177,17714228,17713680,548,价格过高,2025-10-13 00:29:37
178,17713680,17713132,548,价格过高,2025-10-13 00:29:44
179,17713132,17712614,518,价格过高,2025-10-13 00:29:51
180,17712614,17712066,548,价格过高,2025-10-13 00:29:58
181,17712066,17711518,548,价格过高,2025-10-13 00:30:05
182,17711518,17710970,548,价格过高,2025-10-13 00:30:12
183,17710970,17710432,538,价格过高,2025-10-13 00:30:19
184,17710432,17709894,538,价格过高,2025-10-13 00:30:26
185,17709894,17709346,548,价格过高,2025-10-13 00:30:33
186,17709346,17708798,548,价格过高,2025-10-13 00:30:40
187,17708798,17708250,548,价格过高,2025-10-13 00:30:47
188,17708250,17707702,548,价格过高,2025-10-13 00:30:54
189,17707702,17707164,538,价格过高,2025-10-13 00:31:01
190,17707164,17706626,538,价格过高,2025-10-13 00:31:11
191,17706626,17706078,548,价格过高,2025-10-13 00:31:18
