检测次数,购买前余额,购买后余额,单价,动作,时间
1,18208816,18191828,548.0,价格过高,2025-10-14 00:03:31
2,18191828,18174220,568.0,价格过高,2025-10-14 00:03:39
3,18174220,18156612,568.0,价格过高,2025-10-14 00:03:46
10,18156612,18138694,578.0,价格过高,2025-10-14 00:04:23
11,18138694,18121396,558.0,价格过高,2025-10-14 00:04:30
12,18121396,18106888,468.0,价格过高,2025-10-14 00:04:37
13,18106888,18092380,468.0,价格过高,2025-10-14 00:04:44
14,18092380,18077872,468.0,价格过高,2025-10-14 00:04:51
15,18077872,18063364,468.0,价格过高,2025-10-14 00:04:58
16,77971666,77954058,568.0,价格过高,2025-10-14 00:05:25
17,77926282,77912394,448.0,价格过高,2025-10-14 00:05:37
18,7899126,7885238,448.0,价格过高,2025-10-14 00:05:47
19,7885238,7871970,428.0,购买成功(200x5),2025-10-14 00:05:56
20,7512604,7499336,428.0,购买成功(200x5),2025-10-14 00:06:10
21,77203258,77185650,568.0,价格过高,2025-10-14 00:06:20
22,17157874,17140576,558.0,价格过高,2025-10-14 00:06:32
23,17140576,17123898,538.0,价格过高,2025-10-14 00:06:39
24,17123898,17105980,578.0,价格过高,2025-10-14 00:06:49
25,7088062,7072314,508.0,价格过高,2025-10-14 00:06:59
26,77018870,77001572,558.0,价格过高,2025-10-14 00:07:14
27,16983964,16966046,578.0,价格过高,2025-10-14 00:07:24
28,16966046,16950298,508.0,价格过高,2025-10-14 00:07:31
29,16950298,16934550,508.0,价格过高,2025-10-14 00:07:38
30,16934550,16918802,508.0,价格过高,2025-10-14 00:07:45
31,16918802,16901194,568.0,价格过高,2025-10-14 00:07:52
32,16870008,16852710,558.0,价格过高,2025-10-14 00:08:05
33,167783828,167768080,508.0,价格过高,2025-10-14 00:08:23
34,167768080,167750472,568.0,价格过高,2025-10-14 00:08:33
35,167750472,167732864,568.0,价格过高,2025-10-14 00:08:40
36,16715256,16697648,568.0,价格过高,2025-10-14 00:08:50
37,16697648,16680040,568.0,价格过高,2025-10-14 00:08:57
38,16645444,16627836,568.0,价格过高,2025-10-14 00:09:09
39,16627836,16610228,568.0,价格过高,2025-10-14 00:09:16
40,16579042,16563294,508.0,价格过高,2025-10-14 00:09:29
41,16563294,16545686,568.0,价格过高,2025-10-14 00:09:36
42,16545686,16529938,508.0,价格过高,2025-10-14 00:09:43
43,16529938,16512640,558.0,价格过高,2025-10-14 00:09:50
44,16512640,16495342,558.0,价格过高,2025-10-14 00:09:57
45,16495342,16482694,408.0,购买成功(200x5),2025-10-14 00:10:06
46,16207894,16195246,408.0,购买成功(200x5),2025-10-14 00:10:18
47,15868446,15851458,548.0,价格过高,2025-10-14 00:10:25
48,15818102,15801424,538.0,价格过高,2025-10-14 00:10:37
49,157768068,157751390,538.0,价格过高,2025-10-14 00:10:50
50,157751390,157735022,528.0,价格过高,2025-10-14 00:10:57
51,157735022,157718344,538.0,价格过高,2025-10-14 00:11:04
52,157718344,157701666,538.0,价格过高,2025-10-14 00:11:11
53,15687158,15672650,468.0,价格过高,2025-10-14 00:11:21
54,15672650,15655352,558.0,价格过高,2025-10-14 00:11:28
55,15655352,15640844,468.0,价格过高,2025-10-14 00:11:35
56,15640844,15626336,468.0,价格过高,2025-10-14 00:11:42
57,15626336,15611828,468.0,价格过高,2025-10-14 00:11:49
58,15611828,15597320,468.0,价格过高,2025-10-14 00:11:56
59,15597320,15580332,548.0,价格过高,2025-10-14 00:12:03
60,15580332,15565514,478.0,价格过高,2025-10-14 00:12:10
61,15565514,15550076,498.0,价格过高,2025-10-14 00:12:17
62,15550076,15535258,478.0,价格过高,2025-10-14 00:12:27
